Rating,Comment
4.0 out of 5 stars,"Got the Instant Pot because I love my TimE Machine, but could not get a smaller size that 8 qt. Definitely wish I had noted how small this 3 qt. unit is. Only had it a short time, so cannot speak to durability or all of the great meals I hve made, but I expect to use it regularly for steel cut oats, rice and quinoa. I made chicken cacciatore and fit enough for 4 two portions, but a 6 qt probably would have been the sweet spot for my small household that likes leftovers. I like the ability to sauté veggies and brown meat and then cook it all together to finish the dish.  I found the need to reduce the sauce to thicken it after cooking, but I could do that by removing the meat and changing the setting to sauté with the top open. I will be cautious with the amount of liquid in the future. Definitely a learning curve, and I won’t be cooking everything in the instant pot, but see it as useful for a quicker meal, and great for the oatmeal and rice, things I want to “set and forget”."
1.0 out of 5 stars,"I got the mini pot to save space and because I cook only for one.  The one thing I really needed it for was to cook thick grains like spelt, faro etc.  Well.... Once I got it the instruction booklet and get ready to cook my grains, it happens to mention that the mini pot doesn't have that function. The other pots do. Would have been very important to realize before purchasing, waiting for delivery. Now have the hassle to return it and start all over again.  I am sure the pot works fine.  But I am giving it one star for not having that info right up front."
1.0 out of 5 stars,"This product does not work as advertised. Nearly everything I've tried to cook in it takes hours longer than it should because once the Instant Pot gets up to cooking heat and pressure a ""burn"" signal displays on the screen. It doesn't seem to matter how much liquid there is in the pot.Example - Yesterday I made beef stew in my Instant Pot. The cooking time described in the recipe I was following suggested 25 minutes. It ended up taking three + hours because the ""burn"" signal kept appearing on the display. At one point I emptied the contents in the inner pot to another container to see if the food was actually burning. Guess what, it wasn't. There was no burnt food on the interior. So I cleaned out the inner pot, let everything cool down for a while then returned the stew to the pot to give it another go and then ... no improvement. The ""burn"" signal appeared once again.I called Instant Pot's customer service and spoke to a gentleman who was very polite but utterly unhelpful in regards to this issue.There is nothing in the owner's manual about the ""burn"" signal. When I searched online the only advice I found was from other consumers who had the same problem and were left to come up with their own solutions.I would recommend that if you like slow cooked or pressure cooked food that you stay away from this product. It does not work as advertised, the owner's manual is a joke of a manual, containing little information about the pot and no information about the ""burn"" signal whatsoever.The food I've cooked int the instant pot has all been delicious however as I mentioned earlier it takes hours and a lot of maintenance to cook nearly anything."
4.0 out of 5 stars,"After almost a year, I can definitively say that this is one of my favorite kitchen electronics. As a mom of 6, I'm very busy and this takes a lot of pressure (no pun intended) off of me at mealtime. I have but one problem with it and that is the fact that it's not a good slow cooker. At all. I have tried it a few times and it has not done a good job. Low is more like warm, medium is very low, and high is more like a smidge above low. I have cooked things all day on high and the meat still isn't tender. The good thing is that it's a pressure cooker, so I just pressure cooker it at that point. But I wish it worked better. I bought this so that I could get rid of my rice cooker and slow cooker. But I wish I had kept my slow cooker now, because sometimes I just want to slow cook things and not have to worry with pressure cooking it too. As a rice cooker it does beautifully. If you are considering getting this appliance, I highly recommend it. But hold on to your slow cooker until you know if you need it. And check out Pinterest for recipes. There are tons out there!"
5.0 out of 5 stars,"I received my Instant Pot yesterday and this morning I read the instruction book, ran the test run, and found a website ""Pressurecookingtoday.com"" which gave me instructions for doing steamed pudding in my pressure cooker.  I have made persimmon pudding for the holidays for years, using an old Presto appliance which doubled as a deep fryer, and took 2-1/2 hours of steaming and having to add water at least once.  Today I made it in my Instant Pot in 60 minutes and it came out perfect.  So happy I bought this appliance.  Can't wait to try the next thing."
5.0 out of 5 stars,"So if you’ve ever considered buying an Instant Pot, DO IT.I got one today, and was cooking soup on the stove. I realized that the recipe called for cooked chicken, not raw chicken. So I pulled two chicken breasts out and set them in the Instant Pot and let it rip.SIX MINUTES LATER! I had two perfectly cooked, moist, tender chicken breasts. It took me longer to unpackage the Instant Pot than it did to cook chicken in it. This thing is insane. I love it."
1.0 out of 5 stars,"I decided to invest in this IP Duo Nova to keep in our RV to simplify cooking - apparently there are indefinite numbers of dish you can make with all the function it offers. Upon arrival I tried the water test and it passed the test. Next thing we tried was steaming rice - followed all instructions and came out OK, but our old rice cooker at home does the job better, since this rice came out quite mushy .Next use, decided to go all in and cook my first complete meal - Hungarian Goulasch (using the slow-cooker program). Prepped all ingredients and started the slow-cooker program on Low for 6-8 hours. Went on a hike all day in belief my food was being cooked, only to realize 8 hours later that the stew-meat was hard as a shoe-sole and the potatoes still raw. Couldn't wrap myself around it until I realized that the ""keep warm"" function lights on by default when selecting a program. My interpretation of this light being on while selecting a program was that the IP would keep the food warm upon completion of a program run. But that's not the case - actually - the light being on OVERRIDES the program to run. Merely, my ingredients had only been kept warm for 8 hours instead of slowly cooked. Very frustrating, no dinner that evening but decided to start over with the same batch and ensure the keep-warm button was OFF (only showing slow-cooker lit up, not both). Selected ""normal"" instead of ""low"" as I didn't feel it needed to cook as long worrying my food would build up bacteria.After 5 hours the stew meat and potatoes not cooked through, so increased to ""high"" for 2 more hours. No change. At this point, my food had stayed on medium temperature for too many hours that the risk of bacteria build up was too high and I didn't want to risk my family getting food poisoning. So I had to throw away the whole batch of goulash that my family was planned to enjoy at the end of a day of hiking.Stubborn as I am, I decided to start over the next day and cook a whole new batch on the slow-cooker program on ""high"" for 6 hours, with new meat and ingredients. It came out better than the day before, but by no means close to the tenderness of the beef-stew after slow-cooking it as my old slow-cooker at home.Have yet to try the pressure cooking programs, but must admit, at this point I have lost confidence in the product and am considering returning it. I'm worried about how many more batches of food it will ruin for me before I give up on it. Maybe it's not as versatile as marketed, it's probably just good at one thing - pressure cooking and that's it? Too early to say, will update this review once tried that option as well.For the purchase price, I wouldn't say it's worth it."
4.0 out of 5 stars,"I'm just learning to use it, and finding it a little tricky to get timings right. I was hoping for more ""one-dish"" meals with veggies and meats, but in truth the cooking times for those things are all so different and if you use the pressure cooking (what I bought it for) you can't just add in the veggies later in the process like you can with regular crock pot cooking. So my veggies have been overdone thus far.  I do like it, and will keep trying, but the word ""instant"" is a bit of wishful thinking. Everything I've done in it so far took about as long as it would have taken to cook using regular methods, pretty much, by the time you allow for the unit to pressurize etc."
5.0 out of 5 stars,"So far, I only use it for pressure cooking.  I've owned an electric pressure cooker for the past 8 years.  My old one was a generic name but it finally bit the dust after the plastic vent release valve broke off.The Instant Pot is 8 qt instead of the 6 that I had before.  The size is definitely a huge plus.  Construction quality is very high.  The inner stainless vessel is really impressive quality.  The hood is well constructed.  It has a lot of plastic but I'll be sure not to drop it accidentally.  So far so good performance wise.  Unlike pressure cookers of olde, once pressure is reached, the cooking is silent.  Have yet to try out the other cooking modes but so far so good."
1.0 out of 5 stars,"I bought this thinking it would save me a lot of trouble and room in the kitchen due to its many supposed functions but it's caused a lot more trouble than anything else.First: note that you can use this to cook rice, but you have to use the pressure cook setting and rice does not come out as good as in a rice cooker.Also note that this is NOT autosensing. You would think that the different buttons for ""beans"" or ""soup"" actually do different things, but they don't.In fact, you will actually either burn your food or undercook it.The temperature of the slow cooker for example, does not get high enough, even on the ""high"" setting. I've tried to use the setting to cook things for 6-10 hours and have been left with barely heated through food. (Trust me, I'm not doing anything wrong).Actually, this whole thing doesn't work. Any recipe I follow specifically mentioning the instant pot burns the bottom or comes out wrong in some way. Mine doesn't seem defective; it just seems like a really crappy product for the price you pay. Save yourself the money and stay far away from the instant pot!!"
4.0 out of 5 stars,"It true. I still alive. And the Instant Pot bee pretty good and safe.PART ONEIn the beginin I not so sure. And this all be hauntin are family fur many yeers.Back in 1952 Grandma Wilkes buy something called the Immediate Pot that cost $4.99 on sale that promise to change her life. She kook from dawn to dusk fur a big family of 8 useless boys, 1 girl named Lulu and a husband named Zelmo who want hisdinner on the tabul when he say so. And while Grandma Wilkes and her sistur, Bready come from a line of good kooks, they also seem to inhabut the stoopid side of the family.On July 29 exactly 67 years ago, Zelmo and his brothers Elmo and Velmo, shoot a 14 pound posum and bring it home and want to eat it.   IMMEDIATELY !!!   For breakfast !!   Why for breakfust, yew say?  Well everbody with a brain the size of a walnut, no that yew kill posums at nite with Dawgs an men wearin there long underware.  Anyway, Zelmo, Elmo and Velmo bee so proud of thereselves for shootin the bigust posum in the county that they invite everbody home who they pass in town. Everbody want to see that big sucker 14 pound possum lookin up at them from a pool of gravy !!  Well Grandma Wilkes and her sister Bready haf to get up first thing before daylite and start to kook this 14 pound record settin behemoth immediately for everbody in town, plus those 8 useless boys. And so she drag out the presure kooker. (And she obbiously be under tremendous presure herself, to get this deelishus posum breakfast on the tabul.) So while Grandma Wilkes and Bready hurredly be preparin all the fixins for the big posum breakfast, Lulu get the job of aktually packin this ""verman"" (who also happen to be the name of my Oncle [Verman] on my daddys side) in the Immediate Pot. From the begining it seem to bee a problem. ""WHERE BEE ARE DEELISHUS POSUM BREAKFAST???"" cry Zelmo.“IT WON'T FIT MAMA !!  SCREAM LULU.  IT WON'T FIT !!   IT BE HOMOGENEOUS”“STUFF IT IN THERE, LULU !!  STUFF IT IN THERE !  CRY GRANDMA WILKES.   BREADY GRAB THE BROOM HANDLE !Well they finully get this monstrausagus in the pot an tighten it down with a crowbar.Well you no where this story bee going. And as everbody no, hoo look back on the sitiation, ther ain't no surprises hear.  Because there bee a splosion that was hurd all the way to the state line. Most everbody seem to be OK (altho most everbody also had a tendency to say Huh?? for the rest of their lives.)  Well except Grandma Wilkes who unfortunately hav her head blown to Chattanooga.So needles to say that $4.99 Immediate Pot did seem to change Grandma Wilkes life.(And fur the record, those 8 useless boys say the posum taste pretty good.)PART TOOIt took more than convincing fur me to by a pressure kooker. My mama, “Little Bready” (who not bee named fur relations on the other side of the family but after “Big Bready” who once bee an adult film star) tell me  “Yew need to relax moor, dotter, now that yur older.""  But to relax moor, yew got to tecknologocify.Now my mama worry about me and that bee OK.  When she marry my daddy, Boo, thay hav a pretty hard life together and she hafto slow down two when she develop calluses on her eyelids that neerly turn her blind.I say Mama, I not bee afrayed to teknologicify. Yew no I alreddy be as quick as I can be. An you no that I can kook everthing that swim, crawl, buzz, fly or scratch.I no dotter, say my mama, Little Bready.  When it come to food, you be a real kook.  But all I sayin is that you needtobee more aficient.But Mama, how  can I bee moor aficient if I don't got no head?At furst she conceit that I got a good point but in the end she persistify and persistify. I finully relegated and say OK. OK Mama, I in yur hands with this presure kooker  And I in the hands of the Lord.So my mama Little Bready and my ant by me an Instant Pot with all the possible ecksesorieslike spatoolas, wire trivials an screen door strainin gadgets.  But that Instant Pot sit in the box formonths and months.  And months.Finully my ant come to see me one morning and say,  Enuf bee enuf !!   Yew gonna get yurself out of this bed an kook us a meel with this concraption.  Yur mama and I spent are hard erned  money so you can be a womun of leeseure.  So get out of this bed rite now  !!Well I cant argue with that, I say to myself.   My ant probly bee the most sensicable womun I no.  (She neerly graduate from Jr high school.)So I pull my clothes on and then I rembemember that Uncle Will, Ant Chartroose and there groan son, Cuzin Gill (who live a life of intestinal affliction) bee coming for supper.  OK, I say to myself, that not going to bee a big ďeel.  I kook for them lots of times.So I plan my menu--pigs nuckles, collerd greens, grasshopper gizzards and a big sweet potato pie for dessert. And with lots of time, I stop over to the Piggy Wiggly to get a few things.  (But in the bag of my mind I cant stop  aworryin about that Instant Pot and weather it gonna blow us to kingdom come.)It be suppertime now, my gests arrive, I make small talk about my other ant, Ant Violet her little dotter LadyMary an there battle with that there toenail fungus that be sweeping all of Englund.  An then we talk quite a bit about Cuzin Gills sorry triboolations with his intestines.  An so by now everbody no that I bee stalling for time. So my mama an my ant fiscally drag me by the hare, out to the kitchen, to kook them pig nuckles.  An with them watchin ovur my shoulder, I put one of those babies in the pot an set it fur 23 minutes.  Well that aktually wernt two bad. But then it start to beep and gurgle.  And then it began to hissin an spittin an start to carrion like nobodys biznis.  It sound like when Cuzin Gill come back from Mexicali !!I get down on my hands and nees an scream,  O Heaven !!!  I headed for Chattanooga !! I wait a minute an nothin happun.  I open my eyes an wonder weather the next face I wood lay  eyes on wood be Grandma Wilkes.  But no, it bee my own mama, Little Bready.She say, Get up dotter,  get up!!  It soposed to make that racket.  Now get up, the bell dun ring an let's eat them nuckles.My mamas voice always sound so reesonable and kind.  So I bee reassured and open up that pot an there be a aroma of suckulence that few can conscribe.  All 3 of us be tickled pink!!  (Just like them pigs nuckles.)But as we carrion out the door this big platter of nuckles, we abruptly hurd it.  This big huge  Displosion---- BAAAAAAAAAAANNNNNNGGGGG !!!!!!  And fire that belch cleer across the room.  The windows break, the door come off its hinges and I land on my flying buttress !! Those nuckles fly off of that platter an role around that flore.  (But I not so woried, th flore bee kleen--see my vacyoom revuew.)BUT WHAT HAPPUN ???  We look back.  No it wernt the Instant Pot.  And it not bee an act of God.    Neer as we can tell, Cuzin Gill had ben eatin on a green appul and in a fit of intestinal rambunkshishness manage to ignite the pilot lite on the water heater.  An when we pick ourselves up oft the ground, we calm down pretty  good.  But it take Jack Daniels.So as I reflect on this hear day.  The Instant Pot dinner bee a complete success.  Everbodys heads still bee attached.  TIme wil tel how long we bee sayin Huh?? (And frum now on, Cuzin Gill gonna bee eatin in the barn.)  Thank you berry mutch.IYur Purfesional Thinker"
5.0 out of 5 stars,"Okay. This is quite possibly the coolest, most versatile kitchen gadget I’ve ever owned. I love it so much, that I’ve purchased 2 more for friends and relatives. What does it do? I think the real question is “What can’t it do?” I truly believe you could replace every cooking appliance (including your oven and stove top) and do EVERYTHING in the Instant Pot. I purchased two sizes for my own use: the mini 3-quart (which is my almost-every-day work horse for 2 person dishes) and the 8-quart (which I bring out to handle my dinner party dishes). I have also purchased no less than 5 Instant Pot recipe books, and everything I’ve tried has been fabulous. In the realm of kitchen appliances, there is no better investment than the Instant Pot. My hat’s off to the inventors of this amazing appliance. Highly recommended!!!"
1.0 out of 5 stars,"I used this once and I loved it. Three days later I plugged it in to use again and it was dead. I tried a different power cord but it is the receptacle on the unit that's faulty. I'm returning it and I'm going to give it another shot. However, I will not update my review to be more positive until I see that the replacement I'll have to purchase actually works more than once.Update on December 24... I have contacted Instant Pot again. This appliance is 100% unreliable. The last 5 times I've used it, the instant pot will randomly power down mid cycle. I contacted Instant Pot in early December about this issue. Nearly a week later, I finally received a response asking if I had fully inserted the power cord and if I could get a video of the unit randomly powering down mid cycle. They suggested a water test for this. I responded that not only did I ensure the power cord was fully plugged in, I also tested the continuity of the power cord to rule that out. I expressed concern that they have a test that will cause the unit to randomly power down mid-cycle but I would not be spending hours of my life videoing the appliance to catch it shutting off at a random time. They responded that a video isn't necessary and they'll send me a new cooking unit but they are currently out of stock and they'll contact me when they have them in stock again. Two weeks later, I have heard nothing. I can order one from Instant Pot on Amazon and receive it in two days but they expect me to believe they have none in stock."
5.0 out of 5 stars,"I've only used the unit to cook 4 things:- Brown rice, chicken, mushrooms, carrots (all at once in the Instant Pot)- Peanut Chicken- Sweet Potatoes- Hard boiled eggsAll of them turned out great.  In my limited use of the product, I think the biggest reason to use the product is convenience.  You dirty many less pots and you can 'set and forget',  It's just really easy and convenient to use.For example, the brown rice, chicken dish I mentioned.  I literally put raw brown rice, chicken stock, mushrooms and carrots in the Instant Pot.  I put the lid on and set the timer for 26 minutes.The dish came out great.  The rice was perfectly cooked, the chicken was juicy and tender and the vegetables were cooked but not mushy.  Think about the steps, pots, and effort involved in typically preparing this meal.  Soaking the rice, cooking it separate from everything else.  Cooking the vegetables and chicken separately.  Again, all I did but throw everything in the pot and set the timer for 26 minutes.  One pot to clean afterwards!The other items came out out just as well.  The cooking time time is better than conventional cooking but not as much as you'd think because of the time it takes the pot to pressurize.As with most wildly popular products, this one is certainly slightly over hyped.  It's not a miracle appliance but I would certainly recommend it.  It's overpriced due to its popularity, but if you're going to actually use it regularly, it's worth it."
1.0 out of 5 stars,"I chose this item because I wasn’t certain how I would like an air fryer, I don’t have much room for another appliance,  and I thought this would be smaller to store.It’s very large, and awkward to store. Paradoxically, it’s such a tiny cooking area it felt like an easy bake oven. Two chicken thighs were too crowded.  It has a second rack, but if you use it there’s no way to flip the food midway during cooking as most of the recipes I found online suggested. The directions were laughingly minimal, it was simply cautionary warnings. No recipe there, no real instructions on how to use the appliance.I’ve tried to make chicken fingers, sweet potato fries and chicken thighs. None of it came out great, certainly nothing I’d try to repeat.It’s been years since I returned anything unless it was broken. This was such a disappointment that I am sending it back.If you want an air fryer, there have got to be better choices than this."
2.0 out of 5 stars,"What's all the fuss about?? If, as a number of people have said, there's 1) a steep learning curve, 2) it takes getting used to, 3) it's intimidating--then it's not a great product, or more likely, the instructions (such as they are) are poorly written. I found the instruction manual to be incomprehensible, and NO ONE in my house could replace and lock the lid (all educated adults). Clarity about the product was near nonexistent. It should not be difficult to write an understandable, straightforward manual. The IPot people failed to follow through. There's a golden book opportunity here for someone who knows how to teach, explain, simplify and otherwise make sense to people with new appliances. P.S. I put a new vacuum cleaner together yesterday with zero trouble. Whoever get this IP next at a discounted price: it's brand new and has never been used--but lots of luck--you'll need it.."
5.0 out of 5 stars,"I admit it - I am a kitchen gadget freak. Still, I somehow avoided getting Instant Pot until recently.Maybe it was the peer pressure, or maybe it was just idle curiosity that finally kicked me over the edge. I have a traditional pressure cooker collecting dust in the basement, and truth be told, I've always been a little afraid of it. I have memories of mom cooking up dinner (circa 1965) in this hissing nightmare of a device. But still, I'd heard the Instant Pot was different.It is different. For one thing, it doesn't go on top of the stove. It plugs in, and it self-monitors to maintain a constant pressure, so it doesn't have to release excess steam -- no hissing while it cooks.The directions are well-written, and the unit is very well-built. If the recipe calls for it, you can brown meat in the stainless-steel insert, although I think this would be slower that just browning whatever meat you're using on the stove in a regular frypan. Clean-up is a bit fussy, since there is a silicone seal to remove and wash. The stainless steel cooking insert comes right out and can be hand washed or put in your dishwasher.The idea of reducing my cook times is appealing, but all is not as it first seems. The unit takes a bit of time to reach a boil (and then to build up steam pressure), and takes a bit more time to depressurize. It is all very elegant and non-scary. I conclude that it is worth the effort to use it if you want to cook meat or fowl quickly. Still, remember that this is a fancy steamer: it doesn't produce nice crunchy skin on chicken or beef.Also, if you are making a meat dish that includes vegetables, you'll need to cook in two stages. If you dump the meat in with the vegetables all at once, the vegetables will cook down to mush by the time the meat is done. So, that means to get everything right, you need to allow separate time to pressurize/depressurize for the meat stage, and then pressurize/depressurize again for the vegetables stage. And, all of this is hands-on (as opposed to a slow-cooker, which is pretty much hands-off).I made hard-boiled eggs that were quite good. But all-in-all, it was no faster than just boiling them on the stove.So, I'm thankful to the inventor of Instant Pot for getting me over my pressure-cooker paranoia. And I do use the devise when I need to cook/tenderize meat in a hurry. I'll use it, for sure, but not often enough to make room for it upstairs in my already over-crowded kitchen. It is in my basement, in the space created when I tossed out the old-fashioned pressure cooker that I never ever used."
2.0 out of 5 stars,"I LOVED this until the pressure cooker feature no longer worked.  I bought 2 of these (one for me and one for my daughter). BOTH of ours broke the same way. The silver button on top will no longer pop up to seal for the pressure cooker setting... my favorite setting!  So, I loved it, but it should last longer than 6 months!  UGH!"
1.0 out of 5 stars,"My first attempt to cook in my Instant Pot 1 week ago was a failure. I attempted to cook meatballs with grape jelly and chili sauce for a party. I followed directions exactly. using slow cook button.  When I opened the lid at the end of 4 hour cooking time, the inside of the pot and the meatballs were only slightly warm (not cooked), so I dumped the contents into my old crock pot to cook them.  Today I again attempted to use the Instant Pot as a slow cooker to cook baby Back Ribs with barbecue sauce, etc. I started the ribs at 11:00 am (slow cook button) and planned to have dinner for guests at 6:00 pm. When I opened the pot at 5:30 pm, SAME THING!! Ribs and sauce are barely warm, ribs UNCOOKED, so I will head to my local BBQ restaurant to p/u Ribs to serve with my sides!!! I just looked at my Amazon order for the Instant Pot & planned to return it but I see that my window to return it has closed on March 4 (even though I had not even attempted to use it by that date, so had no idea it was a dud. Of course I have no way to contact Amazon b/c I feel this item should be replaced due to being defective!"
2.0 out of 5 stars,"I’m still getting use to this pot. I tried making spaghetti in it and it burned. The pot was smart enough to tell me it was burning.. but not to adjust it’s self so it would not burn.. sigh.. and the recipe I followed for it..didn’t have enough sauce. The noodles were semi firm.. I like mine mushy..I tried making chicken in it. Just doing frozen thighs and potatoes for a quick dinner. The chicken didn’t cook in the time it said. So by the time I got it “cooked” I could have just fried it faster..Maybe it’s just me, but it shouldn’t be this hard to operate a fancy dancy pressure cooker/steamer..if you’re looking for something quick and simple.. this isn’t it. I bought it to make my life easier .. not harder."
1.0 out of 5 stars,"Quick working in short order. The company was going to listen to my complaint, and replace, but after agrement as to the problem, I stupidly told them Good...cause I cannot sendpics. THEN THEY SAW AN OUT, AND NOW INSISTED I SEND THEM PICS. POS SHOULD BE RUN OUT OF TOWN. MM Krupp, NC"
5.0 out of 5 stars,So far I’m in love!  Chicken cordon blu was perfectly cooked.
4.0 out of 5 stars,"I bought the 6 qt. first from Costco because it was on sale.  It was way too big for two people and I could not take it with me in our RV.  I then bought this 3 quart.  I have used it four times for different things, bone in pork chops, brown and wild rice pilaf, pot roast, and boneless chicken breast with mushroom gravy.  All of these things turned out well although I am learning to tweak things as I go along.  Most recipes online are for the 6 qt. but you just cut the base liquid in half and the food in half for the 3 quart.  For example, if cooking a chicken on the trivet you would need 1/2 c liquid for the mini and a cup for the 6 quart.  You can still put in cups of liquid in the smaller one for other kinds of recipes, but you always need some liquid.  I don't believe it is quite as fast as you would think because there is the time to bring up to pressure and the various times letting the pressure release depending upon the recipe, but it works well and I always have enough leftovers for two people if I want. Also, with these cookers it doesn't matter if you are cooking 1 pork chop or 4 they still take the same time to cook so you don't have to keep guessing so much on what to do.  Clean up is easy.  I thought the sealing ring would be a drag to get in and out but it's not and the stainless steel cooking container is very easy to clean.  I will be using this in our RV as I don't have an oven and on previous trips I couldn't really cook too much and you don't want to be grilling all the time outside.  The sauté function works quite well, too.  I think one or two busy people would really enjoy having one of these. I have used a slow cooker in the past, but I feel tied down to them and actually don't find them as easy to use as cooking times can seem to vary so much.  Plus you don't sautés in them.  This is not the fad gadget I thought it would be, use a few times, grow tired of it and put it in a cupboard like my juicer and blender.  It's a real workhorse."
5.0 out of 5 stars,Kitchen must have. I use it all the time for a number of recipes. It's easy to use and clean.  I have it on my countertop because I use it all the time. I really need two.
5.0 out of 5 stars,"Throw away your crock pots, rice cooker, yogurt machine, and pressure cooker. Those functions are all encompassed in the amazing Instant Pot. Last week, I seared a pound of hamburger in the Instant Por, left it there, added tomatoes, spices, and diced onions, and put it on low for two hours. When I came back, I had chili. Many people would now add beans, but I don't like beans. I use macaroni instead, and it doesn't freeze well, so I boil a quarter cup (dry) of macaroni when I have chili. I also boiled some ham bones, removed the bones and skimmed the brother, added peas, shaved carrots and spices. I pressure cooked that since it was for dinner. It took 15 minutes to render the peas into a sauce. I served it with steak knives since the chunks of ham are rather large. I pressure cooked some chicken breasts for 17 minutes since they started out frozen, and when they were done, I added a can of mushroom soup, a can of cream of celery soup, and a cup of white rice. Two minutes of pressure cooking made divine chicken and rice. I could go on and on, but the point is, what used to take multiple pans now takes one Instant Pot. If you do not have one, hurry. Get one. You need it. If you have one, say nice things to it; it deserves that kind of treatment."
5.0 out of 5 stars,"There is not one bad thing I can say about the instant pot duo plus 8 qt 9 in one I've been using it since the day I got it. It makes dinner prep SO easy. I don't know how I did without the instant pot this long. It makes dinner fast as a working mother I put everything in set the timer to cook as I am leaving work and when I get home it's done and clean up is easy. Remember when you are looking for a instant pot they have a 6qt and a 8qt but that is to the top of the pot which you would never do so if you are 1 or 2 people get the 6qt if you have more people or have parties get the 8qt even if you are 1 or 2 people and get the 8qt you still can just make enough for 1 or 2 but have the ability to cook for parties or the holidays. I've made a roast in 35 minutes to enchiladas, pasta sauce, oh and the egg feature makes the best hard boiled eggs I will never make them any other way, and peeling the is SO easy."
3.0 out of 5 stars,"The 8 quart size is too large for our family of 4. I take responsibility for buying an impractical size (darn you Black Friday!). It takes 15+ minutes to get up to steaming pressure/temp, so it is not quicker or more convenient for making dinner. Perhaps if you were making larger meals, like for a party or large family, there would be less air volume to pressurize and it would cook faster. I guess it makes for less dishes to clean up. We were hoping this was a ""fire and forget"" cooking device, like a really fast Crock Pot, that would make for less kitchen work in our busy evenings, but that hasn't been our experience so far. If you have been thinking of getting one, probably because of your social media friends over-posting about their Instant Pot meals, just remember, size matters."
2.0 out of 5 stars,"This unit is designed with a self sealing valve that is supposed to pop up when the pressure raises to the proper level.  It acts as a locking mechanism for the lid so you can't open the top when under pressure.  We battled with getting the valve to pop up every time we used it.  We kept the valve very clean and really did everything by the book to get the unit to seal up.  We would have to resort to tapping or banging on the the top or shaking the whole unit to get the mechanism to pop into place.  Last night after a frustrating 30 minutes of working to get the valve to seal, we ended up turning the unit off.  I had hoped to open the lid to investigate the problem - mistake!  It was still too hot.  We ended up with a huge mess.  See the photo of the mess we ended up with!  Yikes!  We cleaned it all up and emailed instant pot customer service today to see if they will assist with a solution.  I think the lid was defective to begin with as the seal should pop right up once under pressure.  I am really disappointed with the overall experience, but we will update here if we get a satisfactory level of customer service to fix the problem.  We keep trying because we have had some great meals (despite the effort) from this unit.  Just hope we can get it to work as designed..."
1.0 out of 5 stars,"Was very happy when I got my InstantPot. Unfortunately, it does not perform as the manufacturer says. The more I used it, the worse the item was. Have used pressure cooking for over 60 years. It over heats and get burn notice, got too much fluid left over. All following recipes from manufacturers. It is a lot slower than they claim. It takes a long time to get to right pressure and the recipes do tell u how to vent the pressure from the item. This can add 10 to 60 minutes before u can open it up. Thus it's no way you are getting food served"
2.0 out of 5 stars,"I’ve loved this Insta Pot, it really did make life easier, but it suddenly died, while it was in the midst of cooking. I bought it in October 2019 — it hasn’t even lasted a full year.  An appliance should last more than 8 months.  Customer service sucks:  You have to open a ticket, then they ask for pictures.  Then they come back and ask for more pictures and proof of purchase.  You send everything they ask for.... then they ignore you.  I’m disgusted that Amazon still allows this company to sell through them, EVEN THOGUH THEY DO NOT HONOR THE WARRANTY!  They told me that they can’t send out my replacement due to COVID, BUT YET THEY ARE SHIPPING THEM OUT IF YOU BUY ON THIS AMAZON SITE.  I INFORMED AMAZON, THEY OBVIOUSLY DON’T CARE."
1.0 out of 5 stars,"Really disappointed with this. The lid keeps scratching off the paint of the iron silo and its finding its way into the cooking pot and eventually into the food. Seems like every time I turn the lid, little pieces come out. Will be returning mine soon."
5.0 out of 5 stars,"Ohhh man this thing is a game changer! My husband bought me the 8quart for an early Christmas gift, and it's AMAZING! I suck at remembering to take things out to defrost, so it's perfect for me. So far I made (in one pot) pork chili verde burritos, chicken and rice casserole, bbq shredded chicken sandwiches, and lastnight, a frozen solid pot roast! No joke, frozen pot roast turned into falling apart delicious goodness with potatos and carrots in 90 mins! It seriously took 4 mins to cook the potatos and carrots. Frozen chicken from costco in 15 mins. Ive  had almost no dishes to do all week long. It's friggin awesome. Can't say enough good stuff about it. I have a family of 3, but i bought the 8 quart, because i make leftovers for my husbands lunch the next day. And im so glad i got the bigger one. It's huge very large (about the size of a new wave oven) but worth the extra space you get inside. I could see myself being dissapointed  if I would have gone with the 6quart. Because you can only fill it up 2/3 of the way. All in all great buy, I'm giving away my crockpot. Makes food 10x better and faster. Also one thing to mention, is cabinets... when you push back the vent switch, there is alot of steam. I knew there was steam before I bought it ( thanks to schooling myself on YouTube videos before it arrived in the mail) but I was not aware of how much steam, and that it shoots out steam for a while. First time I used it, I pulled it away from my cabinets, but it still shot right up and got them wet with steam. Anyway, so I wanted to pre warn anybody, to make sure before you buy this that you have a place for it that is not directly over wood cabinetry. Anyway, good luck with your new purchase! Best gift I've ever gotten."
